distance_to_merchant,hour_of_day,is_weekend,budget_utilization,merchant_regret_rate,dwell_time,purchase_occurred
92,2,0,0.9400026061266886,0.5831856405519313,443,0
15,3,1,0.1633490381416992,0.2235179592618486,240,0
91,15,0,0.3348697295347528,0.14638974650263792,254,0
37,7,1,0.40000785279948314,0.0827030141103463,230,0
88,14,0,0.6234325803284434,0.38004739236607654,303,0
166,6,0,0.7331351873291446,0.5459193667058607,297,0
272,7,1,0.8698562330092245,0.7765180575610156,138,1
8,14,0,0.21854556695982175,0.44254902969589993,406,0
74,20,0,0.7198623784864927,0.3543489786530285,186,0
163,23,0,0.05194781458011344,0.24531734807700456,390,0
124,10,1,0.7660282659490371,0.6617109484121613,281,0
146,17,1,0.48332447099490017,0.6123440207671409,474,0
330,16,0,0.7608896386924205,0.5866861146942757,502,0
61,13,1,0.6162500131802073,0.3418731726893358,182,0
134,8,0,0.20420444979573282,0.35733203666977065,418,0
480,2,0,0.08873674706408308,0.41876557824404803,443,0
53,10,1,0.8880757143770566,0.199199160302175,308,0
224,0,0,0.08060845047461229,0.8771723266853341,10,0
136,1,1,0.6876411847115578,0.4298651134800011,433,0
322,14,0,0.33414776539234714,0.12211084443625075,301,0
5,4,0,0.14693192760531615,0.6398941232611052,99,0
169,2,1,0.07044135204460356,0.8021639311716535,486,0
175,15,1,0.6869285335449579,0.9570098942267979,428,0
440,10,0,0.9999120528019471,0.9397391340211642,17,1
473,10,1,0.4777464283407472,0.23826424343721686,419,0
358,19,1,0.03955055744883462,0.12010303954535051,280,0
194,17,0,0.4224081728624046,0.5152703744330095,400,0
195,18,0,0.613227990760665,0.10177177314378472,529,0
167,9,1,0.32507866227499305,0.006527991417840773,177,0
285,16,0,0.5476460350452321,0.8057126309398644,148,0
27,5,0,0.9080149269739717,0.6223157432810177,112,0
343,2,1,0.7707911180605315,0.9116009458206701,354,0
264,12,1,0.0881223318433364,0.4036837637557644,401,0
13,21,1,0.32072228027410443,0.8279167141462622,261,1
203,21,1,0.20515434697992352,0.8785945680677526,400,1
367,4,1,0.7223182487808185,0.367910067214285,169,0
223,22,0,0.04092349836890974,0.04984651651018834,356,0
378,21,0,0.1068333407676455,0.24652565812743787,236,0
368,17,0,0.5493918840303674,0.8460537581530305,325,0
153,5,0,0.44814222993252983,0.12786612992193325,278,0
147,16,1,0.07821788027565801,0.8457247643706197,132,0
213,0,0,0.5972523491962507,0.5660637065851225,31,0
259,14,1,0.13798011659149068,0.3568784657053874,83,0
348,6,0,0.020313712935208006,0.23023195324919665,347,0
285,11,0,0.6102572033546332,0.6336103024904055,218,0
293,17,0,0.5280027388901468,0.6036922911254855,134,0
46,21,1,0.846188843392183,0.07496578417752231,100,1
407,16,1,0.2710261370251552,0.5553715316320742,540,0
227,22,0,0.4063119080298697,0.9126772669472867,384,1
103,20,1,0.28484457921976924,0.18280317589963557,425,0
393,15,0,0.1589786177236483,0.02338742931113691,30,0
242,22,1,0.9284172391998251,0.7720949340646116,582,1
436,13,1,0.04603040617509657,0.2005320017293577,229,0
306,1,0,0.4543924253178484,0.7534073576188937,597,0
464,14,0,0.2824535346017436,0.6308587684239026,588,0
276,23,1,0.340395515916992,0.4272042745092133,378,0
430,12,0,0.94701706493799,0.708056111127837,389,1
129,22,1,0.08710299863409132,0.9397443087016749,7,1
87,13,0,0.8074352447595373,0.6308700728247214,61,0
416,16,0,0.8605016032851,0.5958729132720064,221,0
118,6,1,0.9460292468876742,0.6633073904559927,182,0
25,23,0,0.9967752992950973,0.9954183531709967,7,1
224,23,1,0.7373537282195364,0.563181333513672,32,0
489,6,0,0.662416914601213,0.32193572334707754,422,0
192,9,0,0.7327156056215977,0.8158582198802963,268,0
258,14,1,0.95249086924801,0.9768158781726232,240,1
2,17,0,0.19568455248828542,0.7632258133138881,236,1
168,22,1,0.20452390854956604,0.21175967230938464,411,0
190,7,1,0.16156135835092145,0.6901277169479652,424,0
227,8,1,0.9381996045166475,0.5774065619228558,66,0
436,20,0,0.8872471274444815,0.9923037955978934,28,1
291,3,0,0.6337694517086685,0.42336833876295443,94,0
83,4,1,0.8634694267174157,0.15145482556205048,433,0
83,14,0,0.8547953598003912,0.8130825605065433,349,1
29,9,0,0.8472048115420003,0.4639731825539122,517,0
18,2,1,0.9037363724173829,0.28721545258461956,256,0
320,22,0,0.12258061925100172,0.20719236972886101,262,0
367,12,0,0.4078039661337447,0.27127340261087596,396,0
101,14,1,0.20505288598189797,0.20287864394584865,472,0
7,2,0,0.8315560300837914,0.4497058646286488,235,0
499,9,1,0.778613551945076,0.9333187765731645,92,0
167,12,0,0.6773576498059679,0.8786742950815147,274,0
433,18,0,0.3685613033000382,0.16842173935122184,598,0
131,15,0,0.7510257413899599,0.43158871800336474,89,0
15,6,0,0.521529185196298,0.47440363959979226,188,0
333,21,0,0.3322965609643064,0.2823626266470609,34,0
5,15,1,0.7846995167232844,0.9519474821435144,535,1
443,12,0,0.9675966299889459,0.13842044903036732,547,0
1,3,0,0.05087546953695066,0.09210714866039127,552,0
342,13,1,0.7616159018283337,0.2651458885060093,527,0
64,4,0,0.8789275274909966,0.843395788178659,138,1
137,10,0,0.8208926664919203,0.06864878652237971,477,0
423,20,0,0.7109625484623485,0.8665931451714184,389,0
377,5,1,0.8917686348857873,0.2688664074147711,196,0
229,2,1,0.9311811949730759,0.23488842269181043,446,0
404,8,0,0.8513424114739816,0.1698790698343038,220,0
173,19,0,0.5205319958871764,0.847872284916021,102,0
304,15,0,0.8768097151429,0.0699126028953383,27,0
134,23,1,0.5691063143777456,0.1099191477301873,302,0
372,20,1,0.0525365942356496,0.05917579840317899,160,0
272,6,0,0.888395376472365,0.24329778805262248,370,0
162,20,0,0.18975454685384296,0.433759123674317,155,0
290,12,0,0.29981824887905295,0.48597327048001504,377,0
136,7,0,0.5502970652259511,0.7323459504324555,65,0
74,20,0,0.2860100590068674,0.8915716709464453,334,0
430,2,1,0.2996955702069276,0.4536138573084838,584,0
120,12,0,0.1313611233228651,0.0468759809323297,38,0
429,18,1,0.6825315278464464,0.801219537868384,475,0
67,18,1,0.7927223324980103,0.2881292546077915,409,0
133,15,0,0.01786953366631161,0.17461020721266984,114,0
149,6,1,0.9466370117946679,0.7990909574591393,527,1
371,9,1,0.5306672790927695,0.7527495591142446,389,0
415,23,1,0.46064369644429815,0.27372732436746516,503,0
69,13,0,0.3003684440736566,0.10753881749632155,382,0
76,4,1,0.8311415097097763,0.7159741466270984,133,1
385,8,0,0.4151318641415447,0.14558180401002319,297,0
24,15,1,0.05546789991728951,0.7070563862510649,7,1
277,6,0,0.9483824687922052,0.05047333059229808,329,0
355,23,0,0.5138666196049013,0.2598111815219949,347,0
68,13,0,0.3045206570145418,0.20020857563835803,464,0
360,21,0,0.7119128321200618,0.021037469739851322,163,0
285,19,0,0.3076665710375024,0.4984261512598912,587,0
299,17,1,0.734135859684817,0.4890396132333633,449,0
407,16,1,0.6809351727254963,0.7313895157478196,493,0
455,15,1,0.09962823845619684,0.3282414876097516,189,0
357,6,1,0.6622110673383883,0.24250221334630728,13,0
185,8,1,0.7624514699339746,0.8901736245721626,202,0
356,1,0,0.8939275477338816,0.352641456956715,163,0
79,21,0,0.9121256405925677,0.8837638996193216,173,1
318,12,0,0.05243821413790606,0.5216651628434109,221,0
122,7,0,0.4264307462107485,0.9822738168563357,337,0
185,13,0,0.9119575170242057,0.005300624081136851,159,0
462,4,1,0.08243172097625817,0.06416209349314506,70,0
351,3,1,0.35085760534035537,0.1550317438640345,269,0
406,16,1,0.3292794913408955,0.8684770246627125,122,0
38,21,1,0.5202831368855997,0.7335534954846914,597,1
370,13,0,0.8892454018625001,0.4414235300711905,79,0
120,2,0,0.9894645407270956,0.270751726917436,236,0
133,8,0,0.2976421918522971,0.15551659634497317,487,0
72,6,1,0.7771416411940817,0.6897857728244207,28,0
48,11,1,0.3135082249481037,0.9018705015602572,429,1
259,20,0,0.14332820464968865,0.4353046057320743,211,0
196,11,1,0.33549014295277235,0.3169405435831625,449,0
341,13,1,0.7062505804684079,0.313265571106078,401,0
398,17,1,0.1731443932174137,0.8464918716711627,137,0
193,4,1,0.28409457432789287,0.258747643529895,589,0
70,17,0,0.1406406371223946,0.1020502708261789,433,0
42,21,0,0.2628027660306599,0.5959079338849299,259,0
107,17,0,0.9520212989687985,0.8695913049263488,462,1
58,22,0,0.7267489883397178,0.7556431989037874,335,1
187,7,0,0.7343634497881106,0.6568533958344487,598,0
191,23,0,0.451817521380408,0.038837788714139565,88,0
158,16,1,0.01847942388145818,0.35485277198869003,321,0
101,5,0,0.9365785347143939,0.2208097952477892,11,0
214,21,0,0.9495229440231107,0.16851060677317442,379,0
354,17,1,0.6246656879471708,0.026257703402634447,593,0
181,13,1,0.02245472453278985,0.5618951916065312,121,0
132,2,0,0.4986942016555649,0.372560411917507,27,0
169,12,0,0.37434040805243163,0.002860903182024588,354,0
323,19,0,0.14432716992178884,0.008718566033284025,181,0
29,8,1,0.2025301190170512,0.22001584501918647,477,0
396,21,0,0.2255834268258483,0.33194595473869093,444,0
490,5,1,0.5178794918514346,0.7110917255965503,9,0
19,15,0,0.3406619222700481,0.5262873237181833,318,0
167,22,1,0.9386757809102007,0.2975344150472452,215,0
156,20,0,0.41523025449598416,0.4193702696836955,380,0
470,3,1,0.3429212327357166,0.8834519777267212,380,0
450,5,0,0.6009215256849246,0.3420221748290577,45,0
461,21,0,0.177970667658935,0.6762246707192082,72,0
106,20,1,0.7378661224979758,0.369059289597783,441,0
251,20,1,0.42592054561349824,0.6563756046668461,95,0
414,14,0,0.4650005881477075,0.7109120018244668,584,0
416,18,1,0.5872399799981782,0.41338509714416916,234,0
64,18,0,0.6357899875932767,0.3865195534183862,391,0
349,3,0,0.31508352188104716,0.7994798267946908,209,0
175,2,1,0.5486960709166343,0.8899292604557492,108,0
483,15,1,0.3036502529876308,0.16092883486445275,239,0
103,12,1,0.22655151338540547,0.659552767762112,492,0
170,7,0,0.2960115356463662,0.7532920715088489,264,0
233,2,1,0.9671612510573785,0.7077255304185728,555,1
440,15,1,0.38781505825813856,0.2736422790918691,358,0
322,23,1,0.6107786174862767,0.9013783738999059,590,0
430,13,0,0.49063803000618256,0.06427757514762045,150,0
307,20,0,0.16346613514959252,0.21361482184243263,193,0
489,2,1,0.24190283760314435,0.4804167218733928,416,0
140,19,0,0.17278152791749002,0.6086507388832153,137,0
240,19,0,0.5015257748506453,0.779910394027183,122,0
218,2,1,0.20593004356104583,0.4732668113993833,201,0
212,8,0,0.7722752562163219,0.04294211143782245,183,0
323,1,1,0.7940097421447042,0.11922297845932728,275,0
364,1,0,0.07405932072714594,0.6694962738906556,176,0
444,8,0,0.3640081581909981,0.9664878762163827,25,0
69,15,1,0.012467606689324118,0.7167219759347834,53,0
192,17,0,0.03169460745105057,0.1392542766852567,543,0
8,7,1,0.7022248759322829,0.9231486903380959,512,0
80,22,0,0.22477523125035415,0.903189189902374,266,1
52,6,0,0.17350352872767094,0.22930219692588505,19,0
177,7,0,0.869494581433675,0.3429220446669998,560,0
53,10,0,0.1835112594256243,0.8541669818868571,199,0
18,21,0,0.11915934167748854,0.07795884551507193,164,0
76,18,0,0.531832057998423,0.6418405098720503,362,0
222,3,0,0.5890291683266526,0.6842114268962745,458,0
68,18,1,0.7929262534047951,0.40181651174638255,383,0
485,23,0,0.41504920294467174,0.4337088380952602,276,0
111,15,1,0.5231434287613238,0.551476868750085,586,0
415,0,0,0.08595053355682114,0.7588053546489653,396,0
328,11,0,0.876283232764795,0.6604027600094992,4,0
274,7,0,0.18260985865406754,0.8087577213078423,159,0
49,21,0,0.24323962733172588,0.7485206341479009,67,1
306,12,0,0.7283583714219546,0.1405445593133675,354,0
304,16,1,0.35612452134422445,0.44358013524109485,472,0
241,13,0,0.917529879355452,0.6594503047298088,170,0
372,17,1,0.13131005292372733,0.3561687122914948,54,0
236,2,1,0.5928314613969573,0.8899523766079356,301,0
245,5,1,0.5170841730621798,0.8489018054597512,181,0
39,16,1,0.5781926747932131,0.14139870045795444,64,0
349,15,0,0.5240161958398446,0.9321422121528736,235,0
30,9,1,0.696484453441714,0.3561804644706551,29,0
261,3,0,0.500481216565785,0.1843213721250887,519,0
265,8,1,0.0914490494514143,0.6056960374670852,52,0
377,15,0,0.6110971956973591,0.03021336699111432,26,0
190,1,0,0.9629185295035256,0.6311719288796137,264,0
413,9,1,0.297261229509288,0.0960229154564668,226,0
306,23,0,0.2120092162222107,0.6350499549276875,198,0
262,16,0,0.936697073714836,0.6571324490354974,136,0
118,12,0,0.012629984189266197,0.8145195300100887,449,0
288,16,0,0.1301728662650129,0.9888902648671437,184,0
470,21,0,0.2578194260331521,0.3831193030530846,573,0
307,6,1,0.6005866763275997,0.924628309604229,353,0
167,0,0,0.5731367228904753,0.142288982884213,71,0
476,6,0,0.09845334365836889,0.7208541273669619,451,0
400,0,1,0.9983084573785586,0.5207921373434595,203,0
187,13,1,0.241339610976948,0.18970843775840118,509,0
113,4,0,0.6167441453649812,0.6067090156598312,34,0
225,11,1,0.02232563260320375,0.48458677054581833,276,0
159,10,1,0.5753921503703145,0.4990769260504604,513,0
445,15,1,0.4915119949806539,0.8793655243451023,362,0
341,3,1,0.96542098468097,0.6060464032525741,537,0
222,5,0,0.6036768903899763,0.6161705245616063,23,0
401,15,1,0.2387411755694624,0.4448577197876552,543,0
170,15,1,0.539600202434244,0.4635363727408415,38,0
457,15,1,0.05579039631775384,0.4170777838803045,58,0
46,5,1,0.7000168683232835,0.8395338516897115,94,0
181,17,0,0.2170577889216454,0.23656071448283922,337,0
109,16,1,0.8188702665511947,0.9531645902768474,548,1
421,9,1,0.5959788092867081,0.0796717219563684,158,0
482,19,0,0.6610161499452271,0.18244982137537236,514,0
434,19,0,0.7184166876193132,0.5950766849035245,192,0
139,10,1,0.4821703596787964,0.5866482080754759,573,0
209,22,1,0.27107216484631547,0.6280828889677184,400,0
90,15,1,0.33629381631418587,0.018230544967059226,274,0
0,2,0,0.7619675669539169,0.7044689624344344,327,0
2,8,1,0.8623584633278274,0.9670445503548685,173,1
333,11,1,0.5635575968739516,0.6506986131613355,419,0
206,18,0,0.5466006806378352,0.744155946450445,381,0
460,5,1,0.7236875073347961,0.5827992583850828,61,0
473,15,0,0.5659186275820133,0.5241614711555076,468,0
450,14,1,0.4297035559394402,0.5116947028797751,225,0
461,6,1,0.054062988320571215,0.3306269314178252,204,0
481,11,0,0.3901412586638826,0.950036824130541,135,0
454,3,0,0.3842426610537084,0.38327859076565296,216,0
275,15,1,0.9007305090951787,0.24625705979600732,549,0
447,14,0,0.31433819473948754,0.16993520825163355,261,0
55,20,0,0.941404770698867,0.4842614381443632,244,0
347,3,0,0.7804787863636542,0.8604337005097222,472,0
253,16,1,0.48198986994268656,0.6181511564410623,173,0
494,9,0,0.7783128173500112,0.03584479619856673,495,0
203,13,0,0.14027109939115245,0.5859943735133506,592,0
96,8,1,0.9922935216082082,0.6522584207960104,20,0
223,21,1,0.7369909544820636,0.11756345383926414,501,0
116,20,0,0.07848546709667092,0.27701219825460655,429,0
429,1,0,0.8459392839019634,0.9447082122872422,59,1
400,22,1,0.13405374269554637,0.5845853580110119,499,0
271,23,0,0.45013614120532797,0.6914148488571323,40,0
320,16,0,0.4054730342967573,0.5754148349365049,219,0
396,10,0,0.4939537980707108,0.4201843866605256,261,0
228,2,0,0.9789728625386386,0.6805516091158236,384,0
28,18,0,0.5078282643265148,0.995685463486885,544,1
112,0,1,0.6003552399209475,0.8584179946133405,586,0
41,11,1,0.9279975279182454,0.7690631351559843,554,1
106,0,0,0.9119907923480365,0.39388947454668954,99,0
280,14,1,0.7203682892487681,0.28087766745031995,237,0
349,16,0,0.8486572435086592,0.9337768177461845,296,1
394,10,0,0.06692540340975317,0.5897002210771123,17,0
182,23,0,0.419998746807552,0.265201399166895,409,0
210,21,0,0.22896040945289464,0.6202494952900828,415,0
437,0,0,0.6670331278212099,0.23064359221493624,65,0
223,16,1,0.9720672037161883,0.6247206425749529,105,0
310,2,0,0.9145657479294154,0.6554066480682367,587,0
206,15,1,0.9435579781227471,0.41479954014307896,217,0
462,3,0,0.34361122719727777,0.027975917656923643,71,0
430,6,1,0.8211100329442287,0.9013200571548398,203,1
156,10,1,0.6720882240880436,0.774134439224535,32,0
304,20,0,0.6635248155298046,0.17526139564850907,567,0
107,4,1,0.615704438336321,0.5150282004143897,180,0
440,21,1,0.1884508598620912,0.3573800624118224,382,0
449,10,1,0.5707942926540132,0.724737021309674,291,0
149,11,1,0.45279877108484656,0.6000297188733755,472,0
404,0,0,0.30212068044133833,0.2649394584154805,0,0
115,13,1,0.47318209701450076,0.15071029559108962,217,0
9,19,0,0.9121977966336482,0.9936874339023399,78,1
491,17,0,0.6133692869168861,0.5098750143179286,68,0
2,11,0,0.2632111586292958,0.6665017580662366,276,0
0,19,1,0.3162906021015781,0.4185940501705804,166,0
412,6,0,0.1809663280670205,0.016500498375784933,324,0
160,14,0,0.12024219108476752,0.392987728216038,468,0
194,16,1,0.8236774279721564,0.8794670263145279,186,1
263,22,0,0.41762022847297375,0.3668247564729371,341,0
111,6,1,0.08762593333156565,0.6650638006040912,512,0
225,8,1,0.9881634100759883,0.7098887625017891,202,1
429,21,1,0.3081694870409961,0.15126631489310738,592,0
357,12,0,0.9317791404134037,0.2614868731383758,17,0
193,21,1,0.4987360248179127,0.9234633000735941,324,0
486,16,0,0.2704971037481051,0.5460765999912571,87,0
67,14,1,0.7480741730172872,0.9179109055391942,164,0
0,6,0,0.8930719215433942,0.1262974051968221,246,0
239,4,0,0.9862542880312671,0.058887245857182746,523,0
222,4,1,0.040232535197332386,0.9570181912135486,287,0
127,15,1,0.8305843759061587,0.9350425327057391,528,1
139,1,0,0.7623616034290565,0.0166980399686788,425,0
21,22,1,0.9437484590590309,0.7105622530239551,236,1
88,4,1,0.6247521685112203,0.42897583224836366,146,0
379,0,0,0.09091964957369103,0.7740741824892636,543,0
187,2,0,0.24875916897640027,0.8853047523736916,303,0
480,19,0,0.1631366040677079,0.970890343209782,283,0
369,1,1,0.983347496084946,0.3782689731181986,117,0
256,14,1,0.21166906899605908,0.23256389003769262,190,0
13,17,1,0.9630467430817042,0.4018703691436577,86,0
230,10,0,0.10732510708887966,0.8077949918085604,598,0
60,16,0,0.11688828701326903,0.040465853150093434,220,0
133,22,1,0.5784885894362756,0.7899529837961395,426,0
279,17,1,0.3565471583988997,0.38571811114843235,318,0
499,5,0,0.9471464350061252,0.1260918753580943,543,0
198,9,0,0.8949684996415379,0.21083170760137393,141,0
307,12,1,0.4112906152018576,0.20479561149100445,590,0
242,5,1,0.8269004957835389,0.7872660439230613,69,1
124,10,1,0.42198308366730575,0.8462532735664597,557,0
194,8,1,0.22506603594908792,0.1516404950089686,515,0
286,12,0,0.25654760392208686,0.29979710023506556,176,0
164,22,0,0.7326275194732234,0.7549026595787992,569,0
8,4,0,0.2506845300919338,0.4462100174993241,175,0
424,18,1,0.7238858516397105,0.02712755977068415,486,0
481,22,1,0.09006125012623345,0.6528266130942342,136,0
301,22,1,0.1377685720001699,0.5885090771880415,502,0
320,10,0,0.3787289613316712,0.43382534733098055,373,0
175,18,1,0.3128146268890527,0.08838090664046139,171,0
254,5,1,0.599701103811125,0.8572350014224739,204,0
219,13,1,0.5106414301711547,0.041401609652840454,131,0
338,2,0,0.6153007593549847,0.5591895894306298,148,0
351,17,0,0.9782934542520588,0.6791040937709175,373,0
161,3,1,0.6311487860942193,0.05753884148551314,549,0
76,14,0,0.8868721259293766,0.2749015093349636,91,0
222,18,0,0.2313108842486774,0.6727795393815424,250,0
265,6,1,0.5414649759207187,0.43867949639830883,130,0
307,11,0,0.3293548563493489,0.5019917902192194,52,0
256,19,0,0.2628431591432552,0.256482065216194,102,0
122,6,1,0.10694219585461984,0.8080187378124343,497,0
338,0,0,0.9429708644117024,0.7809931366660307,520,1
339,21,0,0.6532527701438886,0.5879757216361488,334,0
174,18,1,0.12473907552593988,0.5221682272633671,174,0
71,16,0,0.7068269690103525,0.4161361034453467,68,0
148,19,0,0.5239875067692242,0.17608309794750976,301,0
175,14,0,0.42496300061452685,0.11930327638002647,123,0
161,0,1,0.9217977009151511,0.15031123736251906,145,0
36,11,0,0.37492528785641566,0.1518414512769377,415,0
134,18,0,0.3143104577669268,0.48604433295857674,119,0
340,22,0,0.37294884445595555,0.29892621158579213,436,0
181,15,0,0.30972206743766595,0.06925027760667335,460,0
303,14,1,0.8103835381532867,0.8523115612894737,527,1
477,22,0,0.470141321413286,0.7436111294103506,63,0
198,5,1,0.7699729037704957,0.30882006615333035,425,0
358,16,0,0.7224153741221683,0.26994575190976544,537,0
405,3,1,0.6354344324492548,0.20001319774431114,377,0
212,6,0,0.38295958136185837,0.8621455540133914,301,0
451,15,0,0.3525557298605735,0.3876786580621876,312,0
94,20,1,0.3976081026618935,0.380178380192171,510,0
138,19,1,0.08333880223421475,0.7827846017496466,124,0
197,2,0,0.41723630823733826,0.05178118032746115,120,0
183,15,1,0.4074938102811917,0.9952189935939055,534,0
218,12,1,0.1789202201680259,0.4124377214466587,329,0
21,6,0,0.24264813161452436,0.36821219376280345,106,0
121,3,1,0.46476373058015374,0.45805054884787877,255,0
435,18,0,0.882492667807346,0.9961736316627158,188,1
434,16,0,0.45396181692337656,0.8252123133014714,188,0
431,6,0,0.9826226485805921,0.046419984427187866,285,0
62,8,0,0.006624740045859889,0.6608863257381946,549,0
427,13,0,0.3571117857328744,0.97799936842416,550,0
380,21,1,0.28933116481338605,0.8567286805308764,440,1
342,15,1,0.12817962907111324,0.3710484799211433,490,0
449,2,0,0.9462159139672492,0.11649800505035823,552,0
35,7,1,0.43026271907007574,0.5294133439948667,230,0
42,16,0,0.42732509512340755,0.7743200028956889,73,0
171,15,0,0.6358148051672673,0.5301382593670516,123,0
285,19,0,0.8017900507800787,0.47771201576615596,422,0
328,16,0,0.8025205029123537,0.14375464271997762,563,0
104,11,1,0.690135459613549,0.7506702354765352,147,0
297,16,0,0.9261951321229006,0.02887552688640116,37,0
207,12,0,0.8530249243176062,0.8107178459283109,422,1
99,4,1,0.030404754742344275,0.08485741351171383,477,0
154,14,0,0.2871710740358735,0.2976602030849169,173,0
366,4,1,0.013587770635928642,0.8097947682750077,251,0
167,18,0,0.9678995173390769,0.055763921981471065,189,0
170,11,1,0.8490914518943911,0.9334222485966411,78,1
361,18,1,0.5141083618040886,0.6564715751901133,195,0
157,14,1,0.305186168185844,0.9037383788135274,115,0
152,11,0,0.36177591487383054,0.6462468079233099,10,0
299,7,0,0.4606130004236041,0.8498828913634372,596,0
3,2,1,0.035834924183979044,0.5709049602384982,429,0
179,23,1,0.8578561141943793,0.15102773350607368,392,0
300,0,0,0.4014869122942797,0.8744404096192264,575,0
323,21,1,0.604858031196405,0.06013064871247398,455,0
59,15,1,0.6482268126476821,0.7212382490992696,463,0
386,0,1,0.5727398195529034,0.3806692058278517,345,0
93,6,0,0.3060715391663411,0.39468221867018916,510,0
